1.825283,0.211033
1.824300,0.211060
1.823366,0.210995
1.822410,0.210802
1.821362,0.210426
1.819844,0.209627
1.818853,0.209002
1.818459,0.208653
1.818321,0.208495
1.818259,0.208426
1.818237,0.208413
1.818265,0.208457
1.818329,0.208539
1.743933,0.125557
1.610372,-0.022764
1.472027,-0.166823
1.331374,-0.308316
1.218333,-0.420300
1.183877,-0.453844
1.173526,-0.463992
1.173419,-0.464079
1.173312,-0.464166
1.173025,-0.464431
1.172285,-0.465265
1.171896,-0.465772
1.171675,-0.466082
1.171519,-0.466319
1.171395,-0.466491
1.181495,-0.447717
1.264495,-0.287427
1.363594,-0.113490
1.467267,0.057268
1.547306,0.183380
1.570499,0.220086
1.576637,0.229736
1.576651,0.229780
1.576669,0.229833
1.576507,0.229585
1.576992,0.230254
1.577496,0.230799
1.578263,0.231406
1.580652,0.232800
1.581902,0.233362
1.582600,0.233560
1.583300,0.233685
1.583767,0.233719
1.583975,0.233712
1.584088,0.233707
1.584178,0.233703
1.584227,0.233705
1.668246,0.221707
1.798625,0.203202
1.833955,0.198590
1.844928,0.197361
1.845049,0.197363
1.845170,0.197364
1.845289,0.197365
1.845407,0.197367
